type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,raw_pnl,pnl,holding_days
Long,False,1.0,2024-07-09 22:00:00,2024-07-10 14:00:00,2371.5,2371.0,-0.5,-1.55,1
Long,False,1.0,2024-07-10 22:00:00,2024-07-11 14:00:00,2374.9,2377.4,2.5,1.45,1
Long,False,1.0,2024-07-11 22:00:00,2024-07-12 22:00:00,2387.6,2413.2,25.6,24.55,1
Long,False,1.0,2024-07-15 14:00:00,2024-07-15 22:00:00,2419.3,2413.0,-6.3,-6.6,0
Long,False,1.0,2024-07-16 06:00:00,2024-07-17 22:00:00,2423.7,2470.2,46.5,45.45,1
Long,True,1.5,2024-07-16 14:00:00,2024-07-17 22:00:00,2427.1,2470.2,43.1,63.07,1
Long,False,1.0,2024-07-18 06:00:00,2024-07-18 14:00:00,2487.6,2462.5,-25.1,-25.4,0
Long,False,1.0,2024-07-18 22:00:00,2024-07-19 06:00:00,2470.3,2468.0,-2.3,-3.35,1
Short,False,1.0,2024-07-26 14:00:00,2024-07-30 22:00:00,2363.8,2433.5,-69.7,-68.92,4
Long,False,1.0,2024-07-30 22:00:00,2024-08-01 22:00:00,2433.5,2490.9,57.4,55.6,2
Long,True,1.0,2024-08-01 14:00:00,2024-08-01 22:00:00,2493.4,2490.9,-2.5,-2.8,0
Long,False,1.0,2024-08-02 06:00:00,2024-08-02 14:00:00,2498.1,2490.8,-7.3,-7.6,0
Long,False,1.0,2024-08-02 22:00:00,2024-08-05 14:00:00,2511.5,2490.3,-21.2,-23.75,3
Long,True,1.0,2024-08-03 06:00:00,2024-08-05 14:00:00,2513.7,2490.3,-23.4,-25.2,2
Long,False,1.0,2024-08-06 14:00:00,2024-08-06 22:00:00,2451.7,2439.4,-12.3,-12.6,0
Long,False,1.0,2024-08-08 06:00:00,2024-08-08 14:00:00,2440.1,2422.8,-17.3,-17.6,0
Long,False,1.0,2024-08-09 06:00:00,2024-08-09 22:00:00,2453.4,2456.3,2.9,2.6,0
Long,True,1.5,2024-08-09 14:00:00,2024-08-09 22:00:00,2467.3,2456.3,-11.0,-16.95,0
Long,False,1.0,2024-08-10 06:00:00,2024-08-13 22:00:00,2466.0,2503.1,37.1,34.55,3
Long,True,1.5,2024-08-12 14:00:00,2024-08-13 22:00:00,2470.1,2503.1,33.0,47.92,1
Long,False,1.0,2024-08-14 06:00:00,2024-08-14 14:00:00,2512.4,2506.3,-6.1,-6.4,0
Long,False,1.0,2024-08-15 22:00:00,2024-08-16 06:00:00,2491.6,2481.7,-9.9,-10.95,1
Long,False,1.0,2024-08-16 14:00:00,2024-08-16 22:00:00,2494.4,2493.1,-1.3,-1.6,0
Long,False,1.0,2024-08-17 06:00:00,2024-08-19 22:00:00,2533.3,2539.6,6.3,4.5,2
Long,True,1.0,2024-08-19 14:00:00,2024-08-19 22:00:00,2549.7,2539.6,-10.1,-10.4,0
Long,False,1.0,2024-08-20 14:00:00,2024-08-20 22:00:00,2542.4,2537.2,-5.2,-5.5,0
Long,False,1.0,2024-08-21 06:00:00,2024-08-21 14:00:00,2568.5,2552.2,-16.3,-16.6,0
Long,False,1.0,2024-08-21 22:00:00,2024-08-22 06:00:00,2553.1,2540.7,-12.4,-13.45,1
Long,False,1.0,2024-08-22 14:00:00,2024-08-22 22:00:00,2549.9,2542.0,-7.9,-8.2,0
Long,False,1.0,2024-08-23 22:00:00,2024-08-26 22:00:00,2527.3,2546.0,18.7,16.15,3
Long,False,1.0,2024-08-27 06:00:00,2024-08-27 22:00:00,2551.6,2548.6,-3.0,-3.3,0
Long,True,1.5,2024-08-27 14:00:00,2024-08-27 22:00:00,2553.8,2548.6,-5.2,-8.25,0
Long,False,1.0,2024-08-28 14:00:00,2024-08-28 22:00:00,2559.8,2540.5,-19.3,-19.6,0
Long,False,1.0,2024-08-29 06:00:00,2024-08-29 14:00:00,2541.1,2539.2,-1.9,-2.2,0
Long,False,1.0,2024-08-29 22:00:00,2024-08-30 06:00:00,2552.1,2550.0,-2.1,-3.15,1
Long,False,1.0,2024-08-30 14:00:00,2024-08-30 22:00:00,2553.6,2547.1,-6.5,-6.8,0
Long,False,1.0,2024-08-31 06:00:00,2024-09-02 14:00:00,2548.8,2536.0,-12.8,-14.6,2
Long,False,1.0,2024-09-06 06:00:00,2024-09-07 06:00:00,2544.9,2539.1,-5.8,-6.85,1
Long,False,1.0,2024-09-11 14:00:00,2024-09-12 06:00:00,2545.7,2538.2,-7.5,-8.55,1
Long,False,1.0,2024-09-12 14:00:00,2024-09-17 06:00:00,2540.6,2615.7,75.1,71.05,5
Long,True,1.0,2024-09-13 14:00:00,2024-09-17 06:00:00,2587.5,2615.7,28.2,24.9,4
Long,False,1.0,2024-09-19 06:00:00,2024-09-19 14:00:00,2598.5,2585.1,-13.4,-13.7,0
Long,False,1.0,2024-09-19 22:00:00,2024-09-24 14:00:00,2599.1,2653.3,54.2,50.15,5
Long,True,1.5,2024-09-20 06:00:00,2024-09-24 14:00:00,2599.9,2653.3,53.4,75.15,4
Long,False,1.0,2024-09-25 06:00:00,2024-09-25 22:00:00,2660.3,2681.1,20.8,20.5,0
Long,True,1.5,2024-09-25 14:00:00,2024-09-25 22:00:00,2682.8,2681.1,-1.7,-3.0,0
Long,False,1.0,2024-09-26 06:00:00,2024-09-26 14:00:00,2688.7,2681.2,-7.5,-7.8,0
Long,False,1.0,2024-09-26 22:00:00,2024-09-27 06:00:00,2684.5,2683.5,-1.0,-2.05,1
Long,False,1.0,2024-09-27 14:00:00,2024-09-27 22:00:00,2695.1,2687.3,-7.8,-8.1,0
Long,False,1.0,2024-09-28 06:00:00,2024-09-30 14:00:00,2688.8,2680.5,-8.3,-10.1,2
Long,False,1.0,2024-10-01 22:00:00,2024-10-02 14:00:00,2664.3,2684.6,20.3,19.25,1
Long,False,1.0,2024-10-03 06:00:00,2024-10-03 14:00:00,2681.0,2679.9,-1.1,-1.4,0
Long,False,1.0,2024-10-04 14:00:00,2024-10-05 06:00:00,2675.7,2671.9,-3.8,-4.85,1
Long,False,1.0,2024-10-12 06:00:00,2024-10-15 06:00:00,2666.8,2672.3,5.5,2.95,3
Long,False,1.0,2024-10-16 06:00:00,2024-10-17 14:00:00,2665.1,2690.4,25.3,24.25,1
Long,False,1.0,2024-10-17 22:00:00,2024-10-22 14:00:00,2699.3,2734.7,35.4,31.35,5
Long,True,1.0,2024-10-21 22:00:00,2024-10-22 14:00:00,2739.8,2734.7,-5.1,-6.15,1
Long,False,1.0,2024-10-22 22:00:00,2024-10-24 06:00:00,2744.9,2751.3,6.4,4.6,2
Long,True,1.5,2024-10-23 14:00:00,2024-10-24 06:00:00,2762.6,2751.3,-11.3,-18.52,1
