type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2024-07-09 00:00:00,2375.36,2024-07-09 04:00:00,2357.21,2358.54,-18.45,0,Stop Loss Exit,1
Long,False,1.0,2024-07-09 08:00:00,2359.15,2024-07-09 20:00:00,2364.28,2343.61,4.83,0,Signal Exit,2
Long,False,1.0,2024-07-10 00:00:00,2367.15,2024-07-10 04:00:00,2361.86,2343.87,-5.59,0,Signal Exit,3
Long,False,1.0,2024-07-10 08:00:00,2363.88,2024-07-11 04:00:00,2373.03,2356.28,8.1,24,Signal Exit,4
Long,False,1.0,2024-07-11 12:00:00,2375.93,2024-07-12 12:00:00,2407.95,2365.82,30.97,24,Signal Exit,5
Long,True,2.0,2024-07-12 04:00:00,2413.64,2024-07-12 12:00:00,2407.95,2365.82,-11.98,0,Signal Exit,6
Long,False,1.0,2024-07-12 16:00:00,2408.05,2024-07-12 20:00:00,2404.83,2394.85,-3.52,0,Signal Exit,7
Long,False,1.0,2024-07-13 04:00:00,2417.85,2024-07-15 08:00:00,2412.67,2379.5,-6.98,48,Signal Exit,8
Long,False,1.0,2024-07-15 20:00:00,2410.7,2024-07-17 16:00:00,2465.34,2450.42,52.84,48,Signal Exit,9
Long,True,2.0,2024-07-16 00:00:00,2418.7,2024-07-17 16:00:00,2465.34,2450.42,91.18,24,Signal Exit,10
Long,False,1.0,2024-07-17 20:00:00,2475.13,2024-07-18 04:00:00,2452.48,2447.6,-23.7,24,Signal Exit,11
Long,True,2.0,2024-07-18 00:00:00,2482.89,2024-07-18 04:00:00,2452.48,2447.6,-61.42,0,Signal Exit,12
Long,False,1.0,2024-07-18 08:00:00,2458.43,2024-07-18 20:00:00,2465.62,2442.6,6.89,0,Signal Exit,13
Long,True,2.0,2024-07-18 12:00:00,2462.4,2024-07-18 20:00:00,2465.62,2442.6,5.84,0,Signal Exit,14
Long,False,1.0,2024-07-25 00:00:00,2421.74,2024-07-25 04:00:00,2409.17,2398.43,-12.87,0,Signal Exit,15
Long,False,1.0,2024-07-29 12:00:00,2392.84,2024-07-29 16:00:00,2392.68,2368.27,-0.46,0,Signal Exit,16
Long,False,1.0,2024-07-29 20:00:00,2392.76,2024-07-30 00:00:00,2392.11,2374.56,-1.7,24,Signal Exit,17
Long,False,1.0,2024-07-30 20:00:00,2389.14,2024-07-31 12:00:00,2409.03,2371.67,18.84,24,Signal Exit,18
Long,False,1.0,2024-07-31 16:00:00,2417.79,2024-08-01 04:00:00,2425.31,2403.09,6.47,24,Signal Exit,19
Long,False,1.0,2024-08-01 08:00:00,2448.83,2024-08-01 16:00:00,2446.93,2408.46,-2.2,0,Signal Exit,20
Long,False,1.0,2024-08-02 00:00:00,2453.44,2024-08-02 04:00:00,2439.34,2415.06,-14.4,0,Signal Exit,21
Long,False,1.0,2024-08-02 08:00:00,2446.49,2024-08-02 20:00:00,2463.91,2418.18,17.12,0,Signal Exit,22
