Timeframe,MA_Period,Offset_Hours,Total_PnL,Sharpe_Ratio,Calmar_Ratio,Profit_Factor,Win_Rate_%,Max_Drawdown,Total_Trades
4H,30,+0h,4745.88,3.04,3.55,1.86,40.47,866.55,509
4H,50,+0h,4062.83,2.53,2.94,1.69,40.23,902.15,517
4H,50,+2h,3346.7,2.47,3.53,1.62,37.07,619.9,499
4H,30,+2h,3354.61,2.43,4.97,1.62,37.6,437.35,500
8H,30,+6h,2831.57,2.31,2.64,1.76,39.55,702.41,268
8H,50,+6h,2940.88,2.29,2.73,1.74,38.89,716.89,270
8H,30,+4h,3269.57,2.02,3.55,1.8,40.77,602.37,287
8H,30,+2h,2292.65,1.95,1.92,1.58,41.39,781.09,273
4H,30,+3h,2910.62,1.84,2.97,1.49,37.52,635.55,501
8H,50,+4h,2762.14,1.68,2.71,1.6,40.07,678.23,292
4H,50,+3h,2430.8,1.54,1.86,1.4,37.92,854.75,509
4H,30,+1h,2064.99,1.53,0.99,1.34,38.81,1349.8,523
8H,50,+2h,1813.93,1.49,1.29,1.41,40.43,937.26,282
8H,50,+0h,1952.54,1.27,0.74,1.4,43.69,1752.05,293
4H,50,+1h,1602.45,1.19,0.73,1.25,38.0,1438.1,529
8H,30,+0h,1778.33,1.18,0.61,1.36,43.06,1904.25,288
