Timeframe,MA_Period,Offset_Hours,Total_PnL,Sharpe_Ratio,Calmar_Ratio,Profit_Factor,Win_Rate_%,Max_Drawdown,Total_Trades
4H,30,+0h,6143.64,3.36,15.04,2.31,42.25,263.17,516
4H,50,+0h,5810.46,3.19,15.64,2.24,42.52,241.49,515
8H,50,+6h,3856.77,2.91,3.92,2.04,40.29,652.76,273
8H,30,+6h,3654.54,2.86,3.54,2.02,39.5,674.18,281
4H,50,+2h,4197.78,2.78,6.13,1.8,40.16,445.65,513
8H,30,+4h,3603.2,2.64,4.6,2.0,43.25,510.43,289
4H,50,+1h,3470.29,2.48,3.01,1.67,40.57,749.33,525
4H,30,+2h,4057.9,2.45,5.04,1.71,39.81,518.78,515
8H,50,+4h,3484.56,2.44,3.42,1.87,42.18,673.75,294
4H,30,+1h,3622.32,2.37,3.37,1.67,40.04,691.46,527
4H,50,+3h,3996.63,2.36,4.27,1.74,39.39,609.02,523
4H,30,+3h,4047.98,2.25,4.53,1.71,38.76,577.02,516
8H,30,+2h,2545.9,2.09,2.2,1.63,42.25,752.03,284
8H,50,+2h,2310.92,1.87,1.9,1.54,40.96,806.7,293
8H,50,+0h,2874.13,1.84,1.29,1.66,45.17,1476.18,290
8H,30,+0h,2694.26,1.76,1.05,1.6,44.01,1673.03,284
