Timeframe,MA_Period,Offset_Hours,Total_PnL,Sharpe_Ratio,Calmar_Ratio,Profit_Factor,Win_Rate_%,Max_Drawdown,Total_Trades
4H,30,+1h,4684.76,3.1,5.14,2.35,37.09,443.1,213
4H,30,+2h,4684.76,3.1,5.14,2.35,37.09,443.1,213
4H,30,+3h,4684.76,3.1,5.14,2.35,37.09,443.1,213
8H,30,+0h,2990.3,3.09,1.72,1.94,44.44,838.88,126
8H,30,+6h,2553.2,2.93,1.42,1.83,42.19,866.82,128
4H,30,+0h,4317.55,2.87,3.84,2.14,37.09,546.61,213
4H,50,+1h,3985.3,2.49,2.44,2.04,36.17,793.49,188
4H,50,+2h,3985.3,2.49,2.44,2.04,36.17,793.49,188
4H,50,+3h,3985.3,2.49,2.44,2.04,36.17,793.49,188
8H,30,+2h,2856.32,2.3,1.43,1.84,38.71,976.01,124
8H,30,+4h,2856.32,2.3,1.43,1.84,38.71,976.01,124
4H,50,+0h,3528.86,2.21,2.04,1.83,36.36,839.85,187
8H,50,+6h,1791.82,1.81,0.89,1.46,35.77,980.5,137
8H,50,+0h,2016.11,1.74,0.91,1.49,39.55,1082.8,134
8H,50,+2h,2001.48,1.45,0.7,1.47,30.77,1391.67,130
8H,50,+4h,2001.48,1.45,0.7,1.47,30.77,1391.67,130
