Timeframe,MA_Period,Offset_Hours,Total_PnL,Win_Rate_%,Max_Drawdown,Profit_Factor,Total_Trades
4H,30,+0h,4745.88,40.47,866.55,1.86,509
4H,50,+0h,4062.83,40.23,902.15,1.69,517
4H,30,+2h,3354.61,37.6,437.35,1.62,500
4H,50,+2h,3346.7,37.07,619.9,1.62,499
8H,30,+4h,3269.57,40.77,602.37,1.8,287
8H,50,+6h,2940.88,38.89,716.89,1.74,270
4H,30,+3h,2910.62,37.52,635.55,1.49,501
8H,30,+6h,2831.57,39.55,702.41,1.76,268
8H,50,+4h,2762.14,40.07,678.23,1.6,292
4H,50,+3h,2430.8,37.92,854.75,1.4,509
8H,30,+2h,2292.65,41.39,781.09,1.58,273
4H,30,+1h,2064.99,38.81,1349.8,1.34,523
8H,50,+0h,1952.54,43.69,1752.05,1.4,293
8H,50,+2h,1813.93,40.43,937.26,1.41,282
8H,30,+0h,1778.33,43.06,1904.25,1.36,288
4H,50,+1h,1602.45,38.0,1438.1,1.25,529
